Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-08-15 00:00:00-04:00,466.1292080232875,472.1551953169193,465.7513358256166,471.7574462890625,38280600,0.0,0.0,0.0
2024-08-16 00:00:00-04:00,469.9675355426552,473.7362736281035,469.0029782072124,472.364013671875,38383600,0.0,0.0,0.0
2024-08-19 00:00:00-04:00,472.5032288780585,478.60875373254794,470.71331276437604,478.5689697265625,23737700,0.0,0.0,0.0
2024-08-20 00:00:00-04:00,477.65415800328225,480.2296186138524,475.86424185965785,477.5646667480469,29209300,0.0,0.0,0.0
2024-08-21 00:00:00-04:00,478.35020938114565,481.6515839554871,476.6299380154846,479.7920837402344,25658800,0.0,0.0,0.0
2024-08-22 00:00:00-04:00,482.11895196512035,482.8150355270497,471.1508563215729,472.1850280761719,37739600,0.0,0.0,0.0
2024-08-23 00:00:00-04:00,476.55037742246253,480.03073456077834,472.6126104143623,477.3061218261719,36061500,0.0,0.0,0.0
2024-08-26 00:00:00-04:00,476.7592211808525,477.68399450970975,470.58405137415923,472.6722717285156,27452600,0.0,0.0,0.0
2024-08-27 00:00:00-04:00,471.0315120287457,475.1582149143801,469.0626134581261,474.08428955078125,27510000,0.0,0.0,0.0
2024-08-28 00:00:00-04:00,473.61689773249856,474.34278128834075,465.2640476225857,468.7046203613281,37372400,0.0,0.0,0.0
2024-08-29 00:00:00-04:00,470.623845807403,475.2477429004321,466.73578595841485,468.0185546875,41081500,0.0,0.0,0.0
2024-08-30 00:00:00-04:00,472.3739379407227,474.2234844825411,467.86936290756364,473.5970153808594,33466500,0.0,0.0,0.0
2024-09-03 00:00:00-04:00,470.5442916306647,470.6735365462219,456.83167617216776,459.21820068359375,44985200,0.0,0.0,0.0
2024-09-04 00:00:00-04:00,456.0958181310341,461.84337780326706,455.1610912685685,458.02490234375,32505100,0.0,0.0,0.0
2024-09-05 00:00:00-04:00,456.3941248220884,462.7482464580866,455.3699067028328,458.4525146484375,34452400,0.0,0.0,0.0
2024-09-06 00:00:00-04:00,457.7464395588459,458.6314591064776,445.6745896374865,446.1717834472656,50624400,0.0,0.0,0.0
2024-09-09 00:00:00-04:00,450.51728712298296,452.90381152412704,447.2954806987537,451.909423828125,32981200,0.0,0.0,0.0
