Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-08-15 00:00:00-04:00,33.720001220703125,34.119998931884766,32.290000915527344,32.5,29136100,0.0,0.0,0.0
2024-08-16 00:00:00-04:00,33.36000061035156,34.13600158691406,32.849998474121094,34.029998779296875,22686500,0.0,0.0,0.0
2024-08-19 00:00:00-04:00,33.470001220703125,33.79499816894531,33.099998474121094,33.619998931884766,13480200,0.0,0.0,0.0
2024-08-20 00:00:00-04:00,34.52000045776367,34.77000045776367,33.349998474121094,33.91999816894531,21676600,0.0,0.0,0.0
2024-08-21 00:00:00-04:00,33.880001068115234,35.14500045776367,33.529998779296875,35.130001068115234,22993900,0.0,0.0,0.0
2024-08-22 00:00:00-04:00,34.65999984741211,34.73500061035156,34.2400016784668,34.349998474121094,15825100,0.0,0.0,0.0
2024-08-23 00:00:00-04:00,34.80500030517578,36.439998626708984,34.63999938964844,36.279998779296875,51673300,0.0,0.0,0.0
2024-08-26 00:00:00-04:00,36.34000015258789,36.415000915527344,35.91999816894531,36.09000015258789,19479700,0.0,0.0,0.0
2024-08-27 00:00:00-04:00,35.560001373291016,35.58700180053711,34.9900016784668,35.380001068115234,19488600,0.0,0.0,0.0
2024-08-28 00:00:00-04:00,34.099998474121094,34.20000076293945,32.93000030517578,33.52000045776367,36007400,0.0,0.0,0.0
2024-08-29 00:00:00-04:00,34.29999923706055,34.82500076293945,33.52000045776367,33.689998626708984,22692500,0.0,0.0,0.0
2024-08-30 00:00:00-04:00,33.900001525878906,34.06999969482422,32.84000015258789,33.369998931884766,22832300,0.0,0.0,0.0
2024-09-03 00:00:00-04:00,33.63999938964844,33.650001525878906,32.70000076293945,32.97999954223633,23729700,0.0,0.0,0.0
2024-09-04 00:00:00-04:00,32.099998474121094,33.30799865722656,31.920000076293945,33.040000915527344,19751900,0.0,0.0,0.0
2024-09-05 00:00:00-04:00,32.22999954223633,32.599998474121094,31.709999084472656,31.850000381469727,20575400,0.0,0.0,0.0
2024-09-06 00:00:00-04:00,32.28499984741211,32.380001068115234,30.239999771118164,30.40999984741211,40486800,0.0,0.0,0.0
