Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-09-19 09:30:00-04:00,149.30999755859375,151.55999755859375,149.10000610351562,151.22000122070312,17652353,0.0,0.0
2022-09-19 10:30:00-04:00,151.2100067138672,152.8300018310547,151.0137939453125,151.97999572753906,11009642,0.0,0.0
2022-09-19 11:30:00-04:00,151.9821014404297,152.5399932861328,151.4199981689453,152.3092041015625,9583493,0.0,0.0
2022-09-19 12:30:00-04:00,152.30999755859375,153.3300018310547,152.28500366210938,153.28500366210938,7980200,0.0,0.0
2022-09-19 13:30:00-04:00,153.2899932861328,153.4499969482422,152.601806640625,152.9199981689453,7087572,0.0,0.0
2022-09-19 14:30:00-04:00,152.9250030517578,154.28990173339844,152.74000549316406,154.13890075683594,9602700,0.0,0.0
2022-09-19 15:30:00-04:00,154.13999938964844,154.55999755859375,153.8300018310547,154.5399932861328,9424980,0.0,0.0
2022-09-20 09:30:00-04:00,153.39999389648438,155.1300048828125,153.0800018310547,154.80499267578125,20960720,0.0,0.0
2022-09-20 10:30:00-04:00,154.80499267578125,156.88999938964844,154.4904022216797,156.60000610351562,14652947,0.0,0.0
2022-09-20 11:30:00-04:00,156.5800018310547,158.0800018310547,156.13999938964844,157.27499389648438,16645297,0.0,0.0
2022-09-20 12:30:00-04:00,157.25999450683594,157.33999633789062,156.00999450683594,156.0399932861328,11737597,0.0,0.0
2022-09-20 13:30:00-04:00,156.0399932861328,156.5800018310547,155.39999389648438,156.2200927734375,12168545,0.0,0.0
2022-09-20 14:30:00-04:00,156.2100067138672,157.19000244140625,155.52999877929688,157.0,12483283,0.0,0.0
2022-09-20 15:30:00-04:00,157.0,157.58999633789062,156.6199951171875,156.89999389648438,11514962,0.0,0.0
2022-09-21 09:30:00-04:00,157.33999633789062,158.39999389648438,156.52099609375,157.38999938964844,18034331,0.0,0.0
2022-09-21 10:30:00-04:00,157.3917999267578,157.4250030517578,155.9199981689453,156.13499450683594,8075424,0.0,0.0
2022-09-21 11:30:00-04:00,156.13999938964844,157.19000244140625,156.11500549316406,157.14739990234375,6426388,0.0,0.0
2022-09-21 12:30:00-04:00,157.13999938964844,157.37120056152344,156.96200561523438,157.23199462890625,5823498,0.0,0.0
2022-09-21 13:30:00-04:00,157.22999572753906,158.0500030517578,154.44000244140625,155.1009979248047,16360872,0.0,0.0
2022-09-21 14:30:00-04:00,155.10000610351562,158.74000549316406,154.69000244140625,155.7100067138672,25057741,0.0,0.0
2022-09-21 15:30:00-04:00,155.7050018310547,155.9600067138672,153.60000610351562,153.7100067138672,12991960,0.0,0.0
2022-09-22 09:30:00-04:00,153.0,153.52999877929688,151.66000366210938,152.4199981689453,22307163,0.0,0.0
2022-09-22 10:30:00-04:00,152.41099548339844,152.80999755859375,150.91000366210938,151.22000122070312,12456903,0.0,0.0
2022-09-22 11:30:00-04:00,151.22999572753906,152.41000366210938,151.16000366210938,152.0330047607422,8220925,0.0,0.0
2022-09-22 12:30:00-04:00,152.0399932861328,152.91000366210938,151.8800048828125,152.4062042236328,7917730,0.0,0.0
2022-09-22 13:30:00-04:00,152.39999389648438,152.97999572753906,152.0,152.10000610351562,7593559,0.0,0.0
2022-09-22 14:30:00-04:00,152.11000061035156,153.97000122070312,151.9698028564453,153.6699981689453,11042606,0.0,0.0
2022-09-22 15:30:00-04:00,153.67999267578125,154.47000122070312,152.61000061035156,152.6999969482422,10425264,0.0,0.0
2022-09-23 09:30:00-04:00,151.0,151.47000122070312,149.31199645996094,150.4398956298828,28339242,0.0,0.0
2022-09-23 10:30:00-04:00,150.42999267578125,150.64999389648438,149.61000061035156,150.0500030517578,11400267,0.0,0.0
2022-09-23 11:30:00-04:00,150.05499267578125,150.5500030517578,149.4499969482422,149.5,9990164,0.0,0.0
2022-09-23 12:30:00-04:00,149.47500610351562,150.3699951171875,149.41000366210938,149.68130493164062,7781715,0.0,0.0
2022-09-23 13:30:00-04:00,149.67999267578125,150.0,148.92999267578125,149.22000122070312,8608513,0.0,0.0
2022-09-23 14:30:00-04:00,149.21499633789062,149.8800048828125,148.55999755859375,149.77000427246094,11333332,0.0,0.0
2022-09-23 15:30:00-04:00,149.75,150.66000366210938,149.67999267578125,150.50999450683594,11644991,0.0,0.0
2022-09-26 09:30:00-04:00,150.41799926757812,153.7700958251953,150.13999938964844,153.58729553222656,23584395,0.0,0.0
2022-09-26 10:30:00-04:00,153.57969665527344,153.6999969482422,151.6999969482422,151.71499633789062,12468456,0.0,0.0
2022-09-26 11:30:00-04:00,151.71499633789062,152.08999633789062,150.8000030517578,150.86720275878906,11755840,0.0,0.0
2022-09-26 12:30:00-04:00,150.86000061035156,151.5399932861328,150.39999389648438,150.75,7995351,0.0,0.0
2022-09-26 13:30:00-04:00,150.74000549316406,151.3000030517578,150.0399932861328,150.64999389648438,8281154,0.0,0.0
2022-09-26 14:30:00-04:00,150.64999389648438,151.86000061035156,150.3000030517578,151.6750030517578,9570308,0.0,0.0
2022-09-26 15:30:00-04:00,151.67999267578125,152.0,150.55999755859375,150.8699951171875,10188206,0.0,0.0
2022-09-27 09:30:00-04:00,152.89999389648438,154.72000122070312,152.5,152.78990173339844,20286606,0.0,0.0
2022-09-27 10:30:00-04:00,152.7895050048828,153.72000122070312,151.57000732421875,151.7550048828125,10804703,0.0,0.0
2022-09-27 11:30:00-04:00,151.7550048828125,152.38999938964844,149.94500732421875,150.8455047607422,11723307,0.0,0.0
2022-09-27 12:30:00-04:00,150.85000610351562,151.82000732421875,150.7449951171875,151.29600524902344,9505780,0.0,0.0
2022-09-27 13:30:00-04:00,151.2899932861328,151.6300048828125,150.72000122070312,151.11590576171875,6548094,0.0,0.0
2022-09-27 14:30:00-04:00,151.1199951171875,152.4499969482422,150.92999267578125,151.52000427246094,9241224,0.0,0.0
2022-09-27 15:30:00-04:00,151.52000427246094,152.19000244140625,151.02999877929688,151.75,8325653,0.0,0.0
2022-09-28 09:30:00-04:00,147.63999938964844,148.3699951171875,144.83999633789062,147.36990356445312,46429912,0.0,0.0
